experiment_id,agent_group_id,algorithm,awareness,n_records,mean_remaining_path_risk,remaining_path_risk_var,cumulative_risk_exposure,avg_path_length,avg_time,max_time,name,risk_nodes,source_nodes,agents_per_source,random_seed
1,82,Efficient,High,81,0.024234709400916075,0.003928817834365947,0.03283950617283951,22.876543209876544,102.95400000000011,106.80000000000011,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
1,82,Efficient,Low,125,0.1497066210526517,0.04614931731979465,0.05567999999999999,23.368,184.0140000000002,186.6900000000002,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
1,83,Centrality,High,80,0.01922452643000644,0.004625684482517492,0.0037037037037037034,26.3,117.74400000000011,120.84000000000012,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
1,83,Centrality,Low,125,0.07729993197467558,0.017790161914070266,0.03424000000000001,19.904,163.17600000000016,171.54000000000016,case_1,"[[0, ""32"", 1.0], [0, ""112"", 1.0], [0, ""222"", 1.0], [0, ""223"", 1.0], [2400, ""170"", 0.7]]","[""82"", ""83""]","[5, 5]",1001
2,82,Efficient,High,76,0.0,0.0,0.0,24.69736842105263,106.9680000000001,112.98000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
2,82,Efficient,Low,85,0.02671386738490397,0.01674120582176163,0.015294117647058824,26.458823529411763,121.6320000000001,126.27000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
2,83,Centrality,High,76,0.0,0.0,0.0,24.36842105263158,106.2360000000001,112.95000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
2,83,Centrality,Low,85,0.013216535782482722,0.00789198522821671,0.008470588235294119,24.51764705882353,112.86600000000013,116.40000000000012,case_2,"[[0, ""8"", 1.0], [0, ""7"", 1.0]]","[""82"", ""83""]","[5, 5]",1002
3,82,Efficient,High,72,0.0,0.0,0.0,25.61111111111111,102.95400000000011,106.80000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
3,82,Efficient,Low,77,0.05929182155283986,0.02985346341392475,0.014545454545454545,22.83116883116883,109.92000000000012,114.30000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
3,83,Centrality,High,72,0.009694116537609668,0.001842875461139191,0.013055555555555556,24.194444444444443,98.91000000000011,102.7800000000001,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
3,83,Centrality,Low,77,0.010160777922214509,0.0020210475161320657,0.013246753246753248,23.68831168831169,105.58800000000011,110.22000000000011,case_3,"[[0, ""112"", 1.0], [0, ""222"", 1.0]]","[""82"", ""83""]","[5, 5]",1003
4,82,Efficient,High,76,0.0,0.0,0.0,24.69736842105263,106.9680000000001,112.98000000000012,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
4,82,Efficient,Low,84,0.02322561582036517,0.012682722513068798,0.010238095238095237,26.595238095238095,120.50400000000013,124.77000000000012,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
4,83,Centrality,High,76,0.0,0.0,0.0,24.36842105263158,106.2360000000001,112.95000000000012,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
4,83,Centrality,Low,84,0.013749567916983325,0.007344902451040696,0.010000000000000002,24.011904761904763,109.9440000000001,113.46000000000011,case_4,"[[0, ""8"", 1.0], [0, ""56"", 1.0]]","[""82"", ""83""]","[5, 5]",1004
5,82,Efficient,High,73,0.0,0.0,0.0,20.17808219178082,90.36600000000007,94.98000000000009,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
5,82,Efficient,Low,83,0.0,0.0,0.0,17.867469879518072,89.71200000000007,93.3600000000001,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
5,83,Centrality,High,73,0.0009519027283210624,0.0001717416251948878,0.023287671232876714,24.931506849315067,104.51400000000012,108.75000000000011,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
5,83,Centrality,Low,83,0.0018671472639322168,0.00031912385917013037,0.024819277108433735,25.843373493975903,120.73200000000011,123.66000000000012,case_5,"[[0, ""40"", 1.0], [0, ""41"", 1.0], [0, ""42"", 1.0], [0, ""43"", 1.0], [2400, ""201"", 1.0]]","[""82"", ""83""]","[5, 5]",1005
6,82,Efficient,High,72,0.0,0.0,0.0,20.444444444444443,89.71200000000007,93.3600000000001,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
6,82,Efficient,Low,73,0.0,0.0,0.0,20.17808219178082,89.71200000000007,93.3600000000001,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
6,83,Centrality,High,72,0.00036254563052666656,3.546543687913307e-05,0.0025,25.666666666666668,103.6140000000001,107.25000000000011,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
6,83,Centrality,Low,73,0.015382318620392835,0.0114951516390247,0.011232876712328765,26.10958904109589,105.02400000000011,108.75000000000011,case_6,"[[0, ""60"", 1.0], [0, ""61"", 1.0], [0, ""62"", 1.0]]","[""82"", ""83""]","[5, 5]",1006
7,82,Efficient,High,79,0.0030321900453314362,0.0004925514715001698,0.013670886075949368,25.443037974683545,111.77400000000011,117.84000000000012,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
7,82,Efficient,Low,92,0.10641592345985663,0.04846432720920732,0.02456521739130435,24.347826086956523,133.66800000000015,137.37000000000015,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
7,83,Centrality,High,79,0.0025416102557698082,0.00036518121083795247,0.01189873417721519,24.025316455696203,107.9400000000001,114.54000000000012,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
7,83,Centrality,Low,92,0.020592833572391757,0.0099806676359532,0.02456521739130435,26.695652173913043,127.24800000000013,132.60000000000014,case_7,"[[0, ""6"", 1.0], [0, ""70"", 1.0], [0, ""71"", 1.0], [0, ""72"", 1.0], [0, ""173"", 1.0], [0, ""144"", 1.0]]","[""82"", ""83""]","[5, 5]",1007
8,82,Efficient,High,79,0.00733926059875427,0.0006848944629422327,0.006582278481012659,24.164556962025316,111.89400000000009,117.93000000000012,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
8,82,Efficient,Low,101,0.06365604978824514,0.02719819194023003,0.01722772277227723,26.356435643564357,146.97000000000014,150.75000000000014,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
8,83,Centrality,High,79,0.0,0.0,0.001518987341772152,23.481012658227847,106.2360000000001,112.95000000000012,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
8,83,Centrality,Low,101,0.01687735374560301,0.011182871543943559,0.007920792079207921,20.356435643564357,111.0120000000001,114.69000000000011,case_8,"[[0, ""6"", 1.0], [0, ""7"", 1.0], [3000, ""172"", 0.8]]","[""82"", ""83""]","[5, 5]",1008
9,82,Efficient,High,71,0.0007635488221800245,0.00012726384650867196,0.0039436619718309866,23.380281690140844,100.71000000000011,106.08000000000011,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
9,82,Efficient,Low,76,0.00823458497340222,0.004495184998623224,0.011842105263157895,26.026315789473685,108.17400000000012,112.89000000000011,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
9,83,Centrality,High,71,0.0005896866925561954,9.4675842070681e-05,0.0028169014084507044,24.52112676056338,100.0860000000001,105.0300000000001,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
9,83,Centrality,Low,76,0.0005508915154143404,8.844716825024146e-05,0.002631578947368421,22.973684210526315,98.95200000000011,102.99000000000011,case_9,"[[0, ""14"", 1.0], [0, ""30"", 1.0], [0, ""31"", 1.0], [0, ""75"", 1.0]]","[""82"", ""83""]","[5, 5]",1009
10,82,Efficient,High,76,0.01043859649122807,0.004150292397660819,0.043421052631578944,24.407894736842106,104.92200000000011,111.06000000000012,case_10,"[[0, ""11"", 1.0], [0, ""10"", 1.0], [0, ""60"", 1.0], [0, ""55"", 1.0], [0, ""139"", 1.0], [3000, ""165"", 1.0], [3000, ""103"", 1.0]]","[""82"", ""83""]","[5, 5]",1010
